cours,start,end,prof,RGB,semaine,salle,type_cours,delta,groupe_etudiant
"PAE 7 ""TA""",2025-11-25 08:00:00,2025-11-25 12:00:00,[],"(0.8352941, 0.6509804, 0.7411765)",,,TA,4.0,
SEABV - remise à niveau SIG,2025-12-02 08:00:00,2025-12-02 12:00:00,[],"(0, 1, 0)",,,,4.0,QEGR
SEABV - remise à niveau SIG,2025-12-01 13:30:00,2025-12-01 17:30:00,[],"(0, 1, 0)",,,,4.0,QEGR
"SEABV_hydrologie 
 (SG, LB)",2026-01-27 09:00:00,2026-01-27 16:30:00,"['Séraphine Grellier', 'Laurie Boithias']","(0, 1, 0)",,,,7.5,QEGR
"SEABV_hydrologie 
 (SG, LB)",2026-01-26 11:00:00,2026-01-26 12:00:00,"['Séraphine Grellier', 'Laurie Boithias']","(0, 1, 0)",,,,1.0,QEGR
"SEABV_hydrologie 
 (SG, LB)",2026-01-26 13:30:00,2026-01-26 17:30:00,"['Séraphine Grellier', 'Laurie Boithias']","(0, 1, 0)",,,,4.0,QEGR
Sol / Modèles,2026-02-03 08:00:00,2026-02-03 16:30:00,[],"(1, 1, 0)",,,,8.5,COMMUN
"Transmission QGER -> AGREST (8h30-9h30)
  Présentaiton semaine modélo (9h30 - 10h)",2026-02-02 09:00:00,2026-02-02 10:00:00,[],"(1, 1, 0)",,,,1.0,COMMUN
Sol - gpes pairs,2026-02-02 10:00:00,2026-02-02 12:00:00,[],"(1, 1, 0)",B,,,2.0,COMMUN
Préconisations,2026-02-16 09:00:00,2026-02-16 17:30:00,[],"(1, 1, 0)",,,,8.5,COMMUN
Préconisations,2026-02-17 09:00:00,2026-02-17 17:30:00,[],"(1, 1, 0)",,,,8.5,COMMUN
Sol - gpes impairs,2026-02-02 13:30:00,2026-02-02 15:30:00,[],"(1, 1, 0)",B,,,2.0,COMMUN
Sol / Modèles (Fin 17h),2026-02-02 15:30:00,2026-02-02 17:30:00,[],"(1, 1, 0)",,,,2.0,COMMUN
Travail Perso,2026-02-09 08:00:00,2026-02-09 10:00:00,[],"(0.8352941, 0.6509804, 0.7411765)",A,,,2.0,
"Terrain vallée de Save L'Isle Jourdain- Lombez- Boulogne Sur Gesse 
 (BP et JPS et MG)",2026-02-10 08:00:00,2026-02-10 17:30:00,[],"(1, 1, 0)",,,,9.5,COMMUN
Départ Terrain,2026-02-09 15:30:00,2026-02-09 17:30:00,[],"(1, 1, 0)",,,,2.0,COMMUN
